                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8217,                 4.6817,                 1.7952,                0.00156,                 0.3373,                0.00683,                0.00367,                 1.8576,                 4.5469,                 1.8309,                 0.0023,                 0.0023,                 0.0023
                      2,                 1.7993,                 4.0221,                 1.6367,                   0.75,                0.05481,                0.17646,                0.07836,                 1.9711,                 4.0688,                 1.7756,              0.0046953,              0.0046953,              0.0046953
                      3,                  1.774,                 3.4339,                 1.6146,                   0.75,                0.03028,                0.19343,                0.08322,                 2.0431,                 4.0501,                 1.9963,              0.0070859,              0.0070859,              0.0070859
                      4,                 1.8473,                 3.2027,                 1.6392,                0.54248,                0.14988,                0.15982,                0.06241,                 2.2406,                 3.8202,                 2.0114,              0.0094718,              0.0094718,              0.0094718
                      5,                 1.9316,                  3.065,                 1.7111,                0.94444,                0.07292,                  0.119,                0.04222,                 2.4209,                     13,                 2.6732,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.9534,                   2.85,                 1.6963,                0.85816,                0.17188,                0.16483,                0.05741,                 2.3425,                 5.0438,                 2.1954,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.9284,                 2.6415,                 1.7127,                0.26024,                0.07292,                0.01039,                0.00315,                 2.6948,                 17.633,                 2.5235,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.9274,                 2.4712,                 1.6947,                 0.5938,                0.16667,                0.13919,                0.04451,                 2.4285,                 7.7495,                  2.211,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.8527,                 2.3841,                 1.6363,                0.11915,                0.30564,                0.13296,                0.05074,                 2.3523,                 4.1274,                 2.1575,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.8678,                 2.2354,                 1.6467,                0.39383,                0.15104,                0.11903,                0.05026,                 2.1841,                 3.2011,                 1.8724,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.818,                 2.1021,                 1.6056,                0.20185,                0.20949,                0.19767,                0.08872,                 2.1834,                 2.4846,                 2.0376,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.8198,                 2.0689,                 1.6189,                0.41935,                 0.3339,                0.37354,                0.13835,                 2.0258,                 2.2218,                 1.9898,               0.009901,               0.009901,               0.009901
                     13,                 1.7691,                 1.9965,                 1.5959,                 0.4896,                0.32044,                0.31066,                0.12766,                 2.0186,                 2.4254,                 1.8619,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.7466,                 1.9488,                 1.5718,                0.62918,                 0.2338,                0.29504,                 0.1051,                 2.1369,                 2.4149,                 1.8603,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.7466,                 1.9168,                 1.5888,                0.38397,                0.45321,                 0.4608,                0.18935,                 2.0472,                  2.168,                 2.0083,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.7523,                 1.8544,                 1.5472,                0.26466,                0.25967,                 0.1741,                0.07413,                 2.1559,                 3.5729,                 1.7874,              0.0098614,              0.0098614,              0.0098614
                     17,                  1.716,                 1.8335,                 1.5479,                0.31598,                0.43227,                0.37726,                0.14426,                 2.2311,                 2.1962,                 1.9339,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.7087,                 1.7748,                 1.5438,                0.45186,                0.37016,                0.34668,                0.12667,                 2.2269,                 2.0321,                 1.9434,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.6933,                 1.7663,                 1.5389,                0.47951,                  0.352,                0.40507,                0.18174,                 1.9951,                 1.8953,                 1.7464,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.6722,                 1.7329,                 1.5112,                0.38233,                0.38499,                0.33128,                0.15324,                 1.9717,                 2.0097,                 1.8073,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.6426,                 1.6546,                 1.4967,                0.52375,                0.45941,                0.41605,                0.18638,                 1.9632,                 1.9809,                 1.7407,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.6369,                 1.6204,                 1.4939,                0.56226,                0.46916,                0.46968,                0.20746,                 2.0039,                   2.08,                 1.8464,               0.009802,               0.009802,               0.009802
                     23,                 1.6291,                 1.5877,                  1.485,                0.47359,                0.47768,                0.46927,                0.20434,                 1.9046,                 1.7054,                 1.7317,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.6023,                 1.5597,                 1.4763,                0.41932,                0.35301,                 0.3842,                0.15851,                 2.0198,                  1.915,                 1.8222,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.5983,                 1.5269,                  1.464,                0.43043,                0.39688,                 0.3675,                 0.1726,                 1.9543,                 1.9745,                  1.794,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.5794,                 1.4646,                  1.446,                 0.4898,                0.44186,                 0.4338,                0.16603,                 2.0853,                 1.9588,                 1.9087,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.6019,                 1.4724,                 1.4676,                0.60918,                 0.4931,                0.48745,                0.19563,                 1.9968,                 1.9585,                 1.7747,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.5542,                  1.449,                 1.4487,                0.49176,                0.47247,                0.49074,                0.19364,                 2.0269,                 1.7666,                 1.6962,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.5633,                 1.4087,                 1.4293,                0.46824,                0.50818,                0.42451,                0.16425,                 2.0618,                 1.7165,                   1.75,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.5365,                 1.3809,                 1.4107,                0.61372,                 0.3793,                0.42876,                0.18707,                 2.0159,                 1.9819,                 1.7809,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.4965,                   1.33,                 1.3832,                0.59231,                0.39277,                0.38259,                0.14653,                  2.104,                 2.1134,                 1.9726,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.5436,                 1.3923,                 1.4418,                 0.3811,                0.38178,                0.35921,                0.13937,                 2.1017,                 1.8555,                 1.9466,               0.009703,               0.009703,               0.009703
                     33,                 1.5044,                 1.3076,                   1.41,                0.48208,                0.40602,                0.42871,                0.18498,                 2.0684,                 1.8111,                 1.8231,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.4968,                  1.312,                 1.3829,                 0.4496,                0.54952,                0.46358,                0.17589,                 2.0336,                 1.8527,                 1.8284,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.4927,                 1.3036,                 1.3733,                 0.4776,                0.52905,                0.45427,                0.18947,                 2.0257,                 1.7221,                  1.792,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.4509,                 1.2754,                 1.3552,                 0.5198,                0.57531,                0.52432,                0.23121,                 1.9358,                 1.5627,                 1.7063,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.4734,                 1.2766,                 1.3733,                0.49081,                0.55026,                0.55051,                0.20973,                  2.098,                 1.5729,                 1.8792,              0.0096535,              0.0096535,              0.0096535
