                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2361,                 6.0185,                 4.2031,                0.00015,                0.01542,                  8e-05,                  1e-05,                 2.7043,                 5.5293,                 4.1558,                0.00015,                0.00015,                0.00015
                      2,                 3.2627,                 5.5344,                 4.1404,                  3e-05,                0.00455,                0.00012,                  2e-05,                 2.6985,                 5.5183,                 4.1454,             0.00031147,             0.00031147,             0.00031147
                      3,                 2.9354,                 5.0951,                 3.8821,                  6e-05,                0.00455,                 0.0002,                  4e-05,                 2.7014,                 5.4796,                 4.1556,             0.00047187,             0.00047187,             0.00047187
                      4,                 2.7358,                 4.8473,                 3.5876,                  3e-05,                0.00455,                  5e-05,                  1e-05,                 2.7425,                 5.3665,                 4.2042,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.3509,                 4.5549,                  3.328,                  3e-05,                0.00455,                  2e-05,                  1e-05,                 2.7551,                  5.545,                 4.2091,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.2326,                 4.3664,                 3.1791,                  7e-05,                0.00455,                  8e-05,                  2e-05,                 2.5749,                  5.294,                  4.009,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.1321,                  4.158,                 3.0665,                0.00067,                0.18523,                0.02086,                0.00674,                 2.3078,                 4.7739,                 3.3862,              0.0011027,              0.0011027,              0.0011027
                      8,                 1.9722,                 3.9351,                 2.9278,                0.58123,                0.03977,                0.02862,                0.00806,                 2.1625,                 4.4672,                 3.4975,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.9083,                 3.7352,                 2.8556,                0.50443,                0.00455,                0.00572,                 0.0012,                 2.1382,                 4.7911,                 3.3226,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.8455,                 3.5829,                 2.8212,                0.59946,                0.11705,                0.07875,                0.02407,                 1.8606,                 4.5929,                 3.0661,               0.001217,               0.001217,               0.001217
                     11,                  1.794,                 3.4493,                 2.7847,                0.64983,                0.19091,                0.11055,                 0.0337,                 1.6604,                 4.4466,                 2.9115,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.7042,                 3.3661,                 2.6852,                0.61256,                0.12045,                0.08594,                0.02093,                 1.6985,                 9.0515,                 2.9747,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6789,                 3.3377,                 2.6859,                0.70355,                0.13409,                0.12865,                0.04755,                 1.5861,                 5.7464,                 2.8421,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.6321,                 3.2038,                 2.5985,                0.33986,                0.18523,                0.09633,                0.03611,                 1.5509,                  3.598,                 2.7308,              0.0012005,              0.0012005,              0.0012005
                     15,                  1.617,                 3.1598,                 2.5634,                0.46996,                0.19886,                0.18217,                0.07023,                 1.4403,                 3.1391,                 2.6331,              0.0011964,              0.0011964,              0.0011964
                     16,                  1.597,                 3.0651,                 2.5457,                0.41579,                0.20455,                0.16328,                0.06025,                 1.5475,                 3.1858,                 2.6469,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5513,                 2.9907,                  2.502,                0.43375,                0.23642,                0.16026,                0.06282,                  1.454,                 3.5145,                 2.6202,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.5311,                 2.9927,                 2.4734,                0.54014,                0.18636,                0.20014,                0.08072,                 1.3503,                 3.2185,                 2.5224,               0.001184,               0.001184,               0.001184
                     19,                 1.4989,                 2.9715,                 2.4354,                0.64502,                0.19648,                0.15895,                 0.0743,                 1.4362,                  3.078,                 2.5564,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.5085,                 2.9352,                 2.4342,                0.41078,                0.18577,                0.14099,                0.05146,                 1.4929,                 3.1988,                 2.6134,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.4997,                 2.8633,                 2.4195,                0.41149,                0.25909,                0.20981,                0.08617,                  1.306,                 3.0363,                 2.4489,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4246,                 2.7711,                  2.345,                0.52822,                0.18977,                0.20685,                0.08565,                 1.3214,                 3.0529,                 2.4738,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.4102,                 2.7921,                 2.3295,                0.45284,                0.32386,                0.24139,                0.08768,                 1.3334,                 2.8798,                 2.4675,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.4029,                 2.7352,                 2.3386,                0.52358,                0.18977,                0.24248,                0.09137,                 1.3685,                 2.8523,                 2.4837,              0.0011593,              0.0011593,              0.0011593
                     25,                  1.404,                 2.7295,                 2.3533,                0.38257,                0.14205,                0.11158,                0.04572,                 1.4364,                 3.2832,                 2.6048,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.3985,                 2.6723,                 2.2883,                0.38533,                0.20227,                 0.1554,                 0.0602,                 1.3365,                 3.1321,                 2.4722,               0.001151,               0.001151,               0.001151
                     27,                 1.3788,                 2.6989,                 2.3228,                0.43067,                   0.25,                0.24007,                0.08842,                 1.2996,                 2.8675,                 2.4875,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.3572,                 2.6499,                 2.2851,                0.54086,                0.22964,                0.25302,                0.10468,                 1.2886,                 2.7037,                 2.4359,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.3334,                 2.5875,                 2.2584,                  0.293,                0.31076,                0.26617,                0.11299,                 1.3379,                 2.6736,                 2.4957,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.3335,                 2.5659,                 2.2584,                 0.6185,                0.20341,                0.29858,                0.12811,                 1.3286,                 2.5077,                 2.4673,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.3107,                 2.5099,                 2.2373,                 0.7155,                0.26591,                0.27952,                0.11983,                 1.2602,                 2.6414,                 2.4261,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.2985,                 2.4832,                 2.2409,                0.40797,                0.31769,                0.26356,                0.11423,                 1.2943,                 2.7291,                 2.4354,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.3637,                 2.5597,                 2.2628,                0.36076,                0.36882,                0.30957,                0.12802,                 1.3044,                 2.5963,                 2.4322,              0.0011221,              0.0011221,              0.0011221
                     34,                  1.261,                 2.3807,                 2.2094,                0.23302,                0.38473,                0.29855,                0.11475,                 1.2735,                 2.6522,                 2.4176,               0.001118,               0.001118,               0.001118
                     35,                 1.2925,                 2.3658,                 2.2362,                0.53176,                 0.3795,                 0.3435,                0.14431,                 1.2877,                 2.4382,                  2.391,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.2854,                    2.4,                 2.2099,                0.82836,                0.23482,                0.31605,                0.13714,                 1.1607,                 2.5564,                 2.3149,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.2776,                 2.4564,                 2.2069,                0.35766,                0.25632,                  0.297,                0.11957,                 1.2509,                 2.6408,                 2.3655,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.2752,                 2.3939,                 2.1825,                0.32909,                0.36262,                0.35779,                0.14399,                 1.3211,                 2.4483,                 2.4362,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.2501,                 2.3112,                 2.1654,                0.35945,                0.34411,                0.34419,                 0.1426,                 1.3244,                 2.5076,                  2.467,              0.0010974,              0.0010974,              0.0010974
                     40,                  1.248,                 2.2841,                 2.1326,                0.46214,                0.35503,                0.33499,                0.14954,                 1.2431,                 2.3934,                 2.3508,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.2127,                 2.2872,                 2.1366,                0.35307,                0.33943,                0.32715,                0.13751,                 1.2696,                 2.4596,                 2.4043,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.1996,                  2.182,                 2.1238,                 0.3247,                0.44007,                0.39549,                0.15198,                  1.287,                 2.3702,                 2.4012,               0.001085,               0.001085,               0.001085
                     43,                 1.2096,                 2.2066,                 2.1236,                 0.4611,                0.38552,                0.38736,                0.14864,                 1.3085,                 2.4006,                 2.4431,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.2208,                 2.2073,                 2.1069,                0.32681,                0.35264,                 0.2979,                 0.1149,                  1.329,                 2.5245,                 2.4629,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.2032,                 2.1875,                 2.1224,                0.43768,                0.36599,                0.42356,                0.16642,                  1.315,                 2.3788,                 2.4562,              0.0010726,              0.0010726,              0.0010726
                     46,                 1.1893,                 2.1793,                 2.1198,                0.38486,                0.51784,                0.44313,                0.17133,                 1.2562,                 2.2564,                 2.3886,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.1761,                 2.1364,                 2.1049,                0.37686,                0.34348,                0.34284,                0.14014,                 1.3264,                 2.3647,                 2.4305,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.1649,                 2.1113,                 2.0754,                0.36438,                 0.3992,                0.40874,                0.17476,                 1.2761,                   2.38,                  2.367,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.1805,                 2.1888,                 2.0856,                 0.4108,                0.45889,                0.43742,                0.18984,                 1.1711,                 2.2585,                 2.2795,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.1523,                 2.0746,                 2.0711,                0.43369,                0.41634,                0.38885,                 0.1749,                 1.2466,                 2.2876,                 2.3206,               0.001052,               0.001052,               0.001052
                     51,                 1.1594,                 2.0855,                 2.0801,                0.45705,                0.40954,                0.35267,                0.14044,                 1.2485,                 2.3134,                 2.3524,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.1706,                 2.0341,                 2.0511,                0.39948,                0.47722,                0.46788,                0.19223,                 1.2192,                 2.2521,                 2.3066,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.1476,                 1.9874,                 2.0377,                0.30149,                0.54408,                0.40181,                0.16863,                 1.2345,                 2.2734,                 2.3237,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.1326,                 1.9961,                 2.0523,                0.59102,                 0.4753,                0.47349,                0.19747,                 1.3418,                 2.1416,                 2.4235,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.1519,                 1.9257,                 2.0242,                 0.4634,                0.44625,                0.40818,                0.15968,                 1.3275,                 2.2496,                 2.3829,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.1632,                 1.9608,                  2.026,                 0.5611,                0.42184,                0.44556,                0.18803,                 1.2592,                  2.164,                 2.3595,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.1672,                 2.0169,                 2.0506,                0.41953,                0.51201,                0.45428,                0.16981,                 1.2988,                 2.1323,                 2.3821,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.0999,                 2.0092,                 2.0135,                0.49616,                0.45947,                0.47046,                0.19768,                  1.302,                 2.2356,                 2.3679,               0.001019,               0.001019,               0.001019
                     59,                 1.1184,                 1.9293,                 1.9989,                0.51082,                 0.4042,                0.46401,                0.18499,                   1.23,                 2.1175,                  2.302,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.0892,                 1.8977,                 2.0106,                0.45375,                0.42189,                0.42092,                0.18503,                  1.271,                 2.2909,                 2.3385,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.0975,                 1.8851,                 1.9649,                0.47473,                0.45954,                0.46348,                0.19038,                 1.2827,                 2.0332,                 2.3298,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.0849,                 1.8844,                 1.9695,                0.52799,                0.44163,                0.44722,                 0.1829,                 1.3086,                 2.0692,                 2.3362,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.0835,                 1.8988,                 1.9678,                0.52226,                 0.5415,                0.53624,                0.19864,                 1.2649,                 2.0556,                  2.322,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.0705,                  1.894,                 1.9684,                0.52738,                0.39348,                0.43624,                0.18268,                 1.2795,                  2.108,                  2.335,             0.00099425,             0.00099425,             0.00099425
                     65,                  1.072,                 1.8584,                 1.9512,                0.39805,                0.54957,                0.48584,                0.20679,                 1.2149,                 2.0541,                   2.31,             0.00099013,             0.00099013,             0.00099013
                     66,                 1.0689,                 1.8023,                  1.953,                0.44062,                0.50251,                0.45164,                0.17694,                 1.3849,                 2.1718,                 2.4456,               0.000986,               0.000986,               0.000986
                     67,                 1.0784,                 1.8256,                 1.9642,                0.48942,                0.53987,                0.49187,                  0.216,                 1.2247,                 2.0073,                 2.3203,             0.00098187,             0.00098187,             0.00098187
                     68,                 1.0642,                 1.8021,                 1.9511,                0.59815,                0.41913,                0.47846,                0.21368,                 1.2275,                 2.0242,                  2.291,             0.00097775,             0.00097775,             0.00097775
                     69,                  1.063,                 1.7818,                 1.9415,                0.46469,                0.54795,                 0.5283,                0.19971,                 1.3534,                  2.053,                 2.4496,             0.00097362,             0.00097362,             0.00097362
                     70,                 1.0632,                 1.7709,                  1.949,                 0.5985,                0.49231,                0.54256,                0.22705,                  1.206,                 1.9065,                 2.2824,              0.0009695,              0.0009695,              0.0009695
                     71,                 1.0597,                 1.7822,                 1.9446,                0.51352,                0.57884,                0.54756,                0.23162,                 1.2045,                 1.9477,                 2.2822,             0.00096537,             0.00096537,             0.00096537
                     72,                   1.04,                 1.7446,                 1.9396,                0.57061,                0.50529,                0.52316,                0.22679,                  1.232,                 2.0791,                 2.3081,             0.00096125,             0.00096125,             0.00096125
                     73,                 1.0657,                 1.7422,                 1.9358,                0.75062,                0.49222,                0.55369,                0.22041,                  1.303,                 1.9049,                 2.3646,             0.00095712,             0.00095712,             0.00095712
                     74,                 1.0562,                 1.7197,                 1.9226,                 0.6195,                0.48356,                 0.5461,                0.23987,                 1.2352,                 1.8498,                  2.338,               0.000953,               0.000953,               0.000953
                     75,                 1.0196,                 1.6823,                 1.9095,                0.63867,                 0.5072,                0.50665,                0.20549,                 1.2224,                 1.9418,                 2.3147,             0.00094887,             0.00094887,             0.00094887
                     76,                 1.0373,                 1.6932,                 1.9134,                 0.5699,                0.50208,                0.51063,                0.19857,                 1.3023,                 1.8171,                 2.3471,             0.00094475,             0.00094475,             0.00094475
                     77,                 1.0243,                 1.6701,                  1.897,                 0.5278,                0.51209,                0.51332,                  0.208,                 1.2179,                 1.9467,                 2.3041,             0.00094062,             0.00094062,             0.00094062
                     78,                0.99813,                 1.6093,                 1.8676,                0.62499,                0.55455,                0.55988,                0.23744,                 1.2359,                 1.8482,                 2.2995,              0.0009365,              0.0009365,              0.0009365
                     79,                0.99406,                  1.648,                 1.8689,                0.56173,                0.49457,                0.55323,                0.23081,                 1.2766,                 1.9513,                 2.3101,             0.00093238,             0.00093238,             0.00093238
                     80,                0.99035,                 1.6277,                 1.8777,                0.50256,                0.54946,                0.49161,                0.19911,                 1.2953,                 2.0054,                 2.3397,             0.00092825,             0.00092825,             0.00092825
                     81,                 0.9956,                 1.6335,                  1.888,                0.58789,                0.49555,                0.51542,                0.18167,                 1.3662,                 2.0319,                 2.3977,             0.00092413,             0.00092413,             0.00092413
                     82,                0.99353,                 1.5983,                 1.8783,                 0.6448,                0.54316,                 0.5428,                0.22354,                 1.2336,                 1.8561,                 2.3018,                0.00092,                0.00092,                0.00092
                     83,                0.99345,                 1.6143,                  1.887,                 0.5754,                0.53924,                0.57621,                0.24326,                 1.2756,                 1.8556,                 2.2937,             0.00091588,             0.00091588,             0.00091588
                     84,                 1.0238,                 1.6584,                 1.8913,                0.65062,                0.50988,                0.55574,                0.22814,                 1.2446,                 1.9721,                 2.3096,             0.00091175,             0.00091175,             0.00091175
                     85,                 0.9722,                 1.5596,                 1.8353,                0.62313,                0.51839,                0.54893,                0.23147,                 1.3123,                 1.8843,                 2.3718,             0.00090763,             0.00090763,             0.00090763
                     86,                0.96754,                 1.5835,                 1.8636,                0.69149,                0.53599,                0.56414,                0.20688,                 1.3865,                 1.9235,                 2.4285,              0.0009035,              0.0009035,              0.0009035
                     87,                 0.9875,                 1.5773,                 1.8855,                0.58802,                0.57968,                0.56718,                0.24548,                 1.2565,                 1.8505,                 2.3087,             0.00089938,             0.00089938,             0.00089938
                     88,                0.98382,                 1.5645,                 1.8651,                0.64242,                0.46895,                0.52087,                0.22434,                 1.2621,                 2.0052,                 2.2984,             0.00089525,             0.00089525,             0.00089525
                     89,                 0.9799,                  1.588,                 1.8821,                0.65431,                0.53849,                0.55318,                0.23804,                 1.2989,                 1.8814,                 2.3421,             0.00089112,             0.00089112,             0.00089112
                     90,                 1.0099,                 1.5558,                 1.8915,                0.57865,                0.53659,                0.55704,                0.24262,                 1.2436,                 1.8424,                 2.2987,               0.000887,               0.000887,               0.000887
                     91,                0.96723,                 1.5004,                   1.84,                0.57056,                0.54314,                0.54637,                0.24021,                  1.297,                 1.9366,                  2.414,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.0118,                 1.5434,                  1.867,                 0.5486,                0.55824,                0.55779,                0.25005,                 1.2244,                 1.8708,                 2.2496,             0.00087875,             0.00087875,             0.00087875
                     93,                 0.9861,                 1.5216,                 1.8292,                0.54569,                0.54276,                0.57624,                0.23573,                 1.2748,                 1.9295,                 2.3073,             0.00087462,             0.00087462,             0.00087462
                     94,                0.94846,                 1.5468,                 1.8192,                0.73768,                0.50524,                0.59562,                0.23847,                  1.265,                 1.8474,                 2.2882,              0.0008705,              0.0008705,              0.0008705
                     95,                0.95638,                 1.4779,                 1.8048,                0.51035,                0.63636,                0.59802,                0.25189,                 1.2829,                 1.7991,                 2.3024,             0.00086637,             0.00086637,             0.00086637
                     96,                0.94361,                 1.4715,                 1.8169,                0.67902,                0.51614,                 0.5996,                0.26451,                 1.2495,                 1.7991,                 2.3006,             0.00086225,             0.00086225,             0.00086225
                     97,                0.92878,                 1.4436,                 1.8064,                0.65418,                0.46601,                0.55211,                0.24933,                 1.3378,                 1.7916,                 2.3375,             0.00085813,             0.00085813,             0.00085813
                     98,                0.93369,                 1.4967,                 1.7914,                0.59641,                0.57613,                0.62304,                0.26586,                 1.2771,                 1.7139,                 2.3155,               0.000854,               0.000854,               0.000854
                     99,                0.93309,                 1.4351,                 1.7782,                0.54716,                0.60993,                0.57652,                 0.2407,                  1.319,                 1.8379,                 2.3662,             0.00084988,             0.00084988,             0.00084988
                    100,                0.92361,                 1.4351,                 1.8134,                0.69514,                 0.5413,                0.61663,                0.26079,                 1.2747,                 1.7782,                 2.3133,             0.00084575,             0.00084575,             0.00084575
                    101,                0.91716,                 1.4367,                 1.7918,                0.65148,                0.60881,                 0.6244,                0.26359,                 1.2516,                 1.6737,                 2.2776,             0.00084162,             0.00084162,             0.00084162
                    102,                 0.9022,                 1.4119,                 1.7848,                0.63213,                0.64133,                 0.6464,                 0.2779,                  1.226,                 1.6044,                 2.2715,              0.0008375,              0.0008375,              0.0008375
                    103,                0.92327,                 1.4344,                 1.7944,                0.73613,                0.57105,                0.64424,                0.27863,                 1.2491,                 1.7182,                 2.3053,             0.00083337,             0.00083337,             0.00083337
                    104,                0.90452,                 1.4001,                 1.7513,                0.60159,                0.56419,                0.59487,                0.26109,                 1.2619,                 1.7394,                 2.2517,             0.00082925,             0.00082925,             0.00082925
                    105,                0.91678,                 1.4072,                 1.7628,                0.59721,                0.62934,                0.60777,                 0.2631,                 1.2902,                 1.7526,                 2.3197,             0.00082513,             0.00082513,             0.00082513
                    106,                0.92316,                 1.4279,                 1.8051,                0.74308,                0.52624,                0.59196,                0.27662,                 1.2187,                 1.7725,                 2.2478,               0.000821,               0.000821,               0.000821
                    107,                0.93716,                 1.3727,                 1.7952,                  0.732,                0.57056,                0.61802,                0.27796,                 1.3283,                 1.7306,                 2.3526,             0.00081688,             0.00081688,             0.00081688
                    108,                0.93113,                 1.3942,                 1.7778,                 0.6889,                0.57457,                0.61583,                0.27392,                 1.2587,                 1.6922,                 2.2746,             0.00081275,             0.00081275,             0.00081275
                    109,                0.91604,                 1.3715,                 1.7819,                0.68119,                0.56957,                0.61602,                0.28551,                 1.2897,                 1.7145,                 2.2987,             0.00080863,             0.00080863,             0.00080863
                    110,                0.92439,                 1.3805,                 1.7849,                0.65298,                0.53379,                0.61272,                0.27076,                 1.2247,                 1.6834,                 2.2636,              0.0008045,              0.0008045,              0.0008045
                    111,                0.87854,                 1.3589,                 1.7415,                0.64807,                 0.6114,                0.62229,                0.26541,                 1.2604,                 1.6277,                  2.309,             0.00080038,             0.00080038,             0.00080038
                    112,                0.84776,                 1.2893,                  1.703,                0.63599,                0.62527,                0.61242,                0.27116,                 1.3483,                 1.7131,                 2.3773,             0.00079625,             0.00079625,             0.00079625
                    113,                0.89951,                 1.3537,                  1.743,                0.71568,                0.47312,                 0.5867,                0.25854,                 1.3116,                 1.7201,                 2.3663,             0.00079213,             0.00079213,             0.00079213
                    114,                0.89735,                  1.358,                 1.7644,                0.58054,                 0.5228,                 0.5619,                0.24135,                 1.3762,                 1.8946,                 2.3824,               0.000788,               0.000788,               0.000788
