                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4097,                 5.5256,                 4.2338,                  4e-05,                0.00455,                  2e-05,                      0,                 2.0141,                 5.0598,                 4.1566,                0.00025,                0.00025,                0.00025
                      2,                 2.4377,                  5.224,                 4.0762,                  9e-05,                0.01542,                  5e-05,                  1e-05,                 1.9931,                 5.0556,                 4.1307,             0.00051081,             0.00051081,             0.00051081
                      3,                 2.3163,                 4.9076,                 3.8001,                  8e-05,                0.01542,                  4e-05,                  1e-05,                 1.9926,                 5.0571,                 4.1364,             0.00076989,             0.00076989,             0.00076989
                      4,                  2.213,                 4.6485,                 3.5735,                0.00012,                0.01996,                  8e-05,                  2e-05,                 1.8193,                  4.924,                 3.7811,              0.0010272,              0.0010272,              0.0010272
                      5,                 2.1811,                 4.6054,                 3.5257,                0.00048,                0.13068,                0.00395,                0.00109,                 1.7861,                 4.7057,                 3.3538,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.0019,                 4.4936,                 3.3812,                0.86809,                0.00909,                0.00996,                0.00174,                  1.916,                 5.1865,                 3.5164,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.9083,                 4.3457,                 3.3106,                0.54234,                0.03636,                0.02626,                0.00697,                  1.683,                 4.4052,                 3.1982,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.8771,                 4.2669,                 3.2189,                0.55747,                0.04773,                0.02257,                0.00681,                 1.6387,                 4.2209,                 3.2266,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.7201,                 4.0854,                 3.1368,                0.59162,                 0.1125,                0.05391,                0.01472,                 1.5339,                 3.9235,                 3.1263,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.7386,                 4.0504,                 3.0786,                0.86491,                 0.0875,                0.09407,                0.03319,                 1.5092,                  3.768,                 3.0286,               0.001217,               0.001217,               0.001217
                     11,                 1.7126,                 4.0091,                 3.0684,                0.32532,                0.17614,                0.08741,                  0.033,                 1.5099,                 3.5099,                 2.9959,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.6747,                 3.8243,                 3.0213,                0.31962,                0.04659,                 0.0406,                0.01567,                 1.4939,                 3.6946,                 3.0372,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6264,                 3.7984,                 3.0028,                0.49892,                0.14318,                0.16934,                0.05681,                 1.4927,                 3.3832,                 3.0066,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.5915,                 3.7784,                 2.9814,                0.43238,                0.18409,                0.10846,                0.03747,                 1.3715,                    3.4,                 2.8818,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.5808,                 3.7107,                 2.9375,                0.42879,                0.17955,                0.13832,                0.05042,                 1.4308,                 3.4652,                 2.9503,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.5404,                 3.6309,                 2.9469,                0.64385,                0.13157,                0.12453,                0.05073,                  1.373,                 3.9633,                 2.9593,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5597,                 3.6018,                 2.9233,                0.37165,                0.17386,                 0.0923,                0.02692,                 1.4189,                 3.3196,                 2.9369,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.4867,                 3.5083,                 2.8805,                0.37202,                0.06136,                0.10719,                0.03822,                 1.3912,                 3.4057,                 2.9276,               0.001184,               0.001184,               0.001184
                     19,                 1.5178,                 3.4813,                  2.878,                0.36189,                  0.175,                0.12451,                0.04311,                 1.4003,                 3.2313,                 2.9279,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.4335,                 3.3715,                 2.8263,                0.44187,                0.21136,                0.13319,                0.04893,                 1.3221,                  3.184,                 2.8439,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.4344,                 3.3464,                 2.8389,                0.39495,                0.19773,                0.17299,                0.06732,                 1.2798,                 3.1481,                 2.8117,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4459,                 3.3117,                 2.8222,                0.43422,                0.22888,                0.14293,                 0.0559,                 1.4208,                 3.0719,                 2.9171,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.4125,                 3.2749,                 2.8298,                0.43637,                0.15227,                0.15986,                0.05902,                 1.4128,                 3.2324,                 2.9378,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.3781,                 3.2182,                 2.7911,                0.48325,                0.18977,                0.17769,                0.07076,                 1.4195,                 3.0545,                 2.9083,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.3727,                 3.1296,                 2.7737,                0.30138,                0.19197,                0.19329,                0.07478,                  1.308,                 2.9586,                 2.8933,              0.0011551,              0.0011551,              0.0011551
                     26,                  1.375,                 3.1575,                 2.7921,                0.40424,                0.33017,                0.24264,                0.09579,                 1.3948,                 3.3402,                 2.8944,               0.001151,               0.001151,               0.001151
                     27,                 1.3526,                 3.1465,                 2.7388,                0.67264,                0.19659,                0.22208,                0.08031,                 1.3075,                 3.7103,                 2.7819,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.3564,                 3.1528,                 2.7406,                0.57143,                0.25568,                0.24523,                0.09796,                 1.3279,                 2.8514,                 2.8268,              0.0011428,              0.0011428,              0.0011428
                     29,                  1.278,                 2.9933,                 2.6768,                0.54285,                0.30455,                0.29458,                0.10112,                 1.1966,                 2.7026,                 2.6976,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.3235,                 3.0545,                 2.6904,                0.47319,                 0.2625,                0.20899,                0.08378,                  1.315,                 2.8954,                 2.8496,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.2985,                 3.0155,                 2.7125,                0.39342,                0.24382,                0.22105,                0.07952,                 1.3466,                 2.7729,                 2.8261,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.2829,                 2.9606,                  2.684,                0.32004,                0.37392,                0.26641,                0.10132,                 1.3282,                 2.7092,                 2.8133,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.3122,                  2.933,                 2.6638,                0.26107,                0.35924,                0.26139,                0.10754,                 1.2853,                  2.958,                 2.7816,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.2623,                 2.8925,                 2.6811,                0.53771,                0.31705,                 0.2557,                0.09768,                 1.2436,                 2.5535,                  2.763,               0.001118,               0.001118,               0.001118
                     35,                 1.2882,                 2.9076,                 2.6701,                0.36587,                0.22337,                0.24865,                0.09235,                 1.2199,                  2.778,                 2.7099,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.2629,                 2.8062,                 2.6294,                0.28176,                0.43132,                 0.3233,                0.13334,                  1.202,                 2.7642,                 2.6902,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.2302,                 2.8115,                 2.6156,                   0.33,                0.41559,                0.31155,                0.11624,                 1.2196,                 2.9781,                 2.6969,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.2236,                 2.7582,                 2.5844,                0.34177,                0.40829,                0.33491,                0.13799,                  1.254,                 2.7082,                 2.7386,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.1866,                 2.6828,                 2.5769,                0.43692,                0.42174,                0.38602,                0.15216,                 1.3194,                  2.599,                  2.754,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2696,                 2.7581,                 2.6132,                0.29827,                0.36357,                0.27409,                 0.1171,                  1.209,                 2.6687,                  2.663,              0.0010933,              0.0010933,              0.0010933
