                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3466,                 5.2239,                 4.2271,                      0,                      0,                      0,                      0,                 3.0879,                 4.9673,                 4.1543,              0.0002125,              0.0002125,              0.0002125
                      2,                 3.1692,                 4.8546,                 4.1225,                      0,                      0,                      0,                      0,                 3.0823,                 4.9856,                 4.1479,             0.00043606,             0.00043606,             0.00043606
                      3,                   2.93,                 4.4698,                 3.8079,                      0,                      0,                      0,                      0,                 3.0806,                 5.0575,                 4.1514,             0.00065813,             0.00065813,             0.00065813
                      4,                 2.5564,                 4.2645,                 3.4482,                      0,                      0,                      0,                      0,                 3.0408,                 5.0498,                 4.1005,             0.00087871,             0.00087871,             0.00087871
                      5,                 2.3849,                 4.1444,                 3.3123,                0.08333,                0.00455,                0.04305,                0.01291,                 2.7575,                 4.7842,                 3.8024,              0.0010978,              0.0010978,              0.0010978
                      6,                 2.3224,                 4.0773,                  3.175,                0.02193,                0.02273,                0.01694,                0.00606,                 2.2883,                 4.4108,                 3.3792,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.3497,                  4.049,                 3.1464,                0.00526,                0.23533,                 0.0121,                0.00392,                 2.1714,                 4.1663,                 3.0727,              0.0012294,              0.0012294,              0.0012294
                      8,                 2.1891,                 4.0251,                 3.0857,                0.29773,                0.07614,                  0.015,                 0.0039,                 1.9988,                  4.276,                 3.0196,              0.0012252,              0.0012252,              0.0012252
                      9,                 2.1999,                 3.9909,                 3.0546,                0.55207,                0.07045,                0.03697,                0.01157,                 2.0771,                 3.5523,                 2.9578,              0.0012211,              0.0012211,              0.0012211
                     10,                 2.0974,                  3.818,                 3.0284,                0.73773,                0.04269,                 0.0468,                 0.0141,                 2.0564,                 3.4649,                 2.8826,               0.001217,               0.001217,               0.001217
                     11,                 2.0563,                 3.7372,                 2.9596,                0.42712,                 0.0706,                0.05982,                0.01535,                 2.0704,                 3.2467,                 2.8872,              0.0012129,              0.0012129,              0.0012129
                     12,                 2.0749,                  3.757,                 2.9153,                0.29937,                0.03068,                0.03042,                0.00544,                 2.0054,                 3.5002,                 2.8053,              0.0012087,              0.0012087,              0.0012087
                     13,                 2.0774,                 3.6199,                 2.8933,                0.05539,                 0.1125,                0.03941,                 0.0098,                 2.0252,                 3.2334,                 2.8909,              0.0012046,              0.0012046,              0.0012046
                     14,                 2.0111,                 3.6147,                 2.9286,                 0.3191,                0.11818,                0.03487,                0.00831,                 1.9267,                   3.91,                 2.8875,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.9469,                 3.5232,                 2.8955,                0.03931,                0.05905,                0.02414,                0.00652,                 1.9399,                   3.17,                 2.7723,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.9521,                 3.4839,                 2.8646,                0.08648,                0.21785,                0.03923,                0.00844,                 1.9133,                 3.7114,                 2.6813,              0.0011922,              0.0011922,              0.0011922
