                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2353,                 5.7603,                 4.2294,                0.00015,                0.00455,                  8e-05,                  2e-05,                 2.7026,                 5.5288,                 4.1579,                0.00015,                0.00015,                0.00015
                      2,                 3.2647,                 5.4606,                 4.1598,                0.00015,                0.00455,                0.00013,                  3e-05,                 2.6944,                 5.5146,                 4.1489,             0.00031147,             0.00031147,             0.00031147
                      3,                 2.8953,                 5.0007,                 3.9601,                0.00014,                0.00455,                0.00012,                  2e-05,                 2.6784,                 5.4424,                 4.1393,             0.00047187,             0.00047187,             0.00047187
                      4,                 2.6289,                 4.8207,                  3.662,                  8e-05,                0.00455,                  5e-05,                  1e-05,                 2.6717,                 5.4659,                 4.1406,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.2902,                  4.549,                   3.39,                  5e-05,                0.00455,                 0.0002,                  2e-05,                 2.6684,                 5.2951,                 4.1597,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.1627,                 4.3239,                  3.192,                0.00015,                 0.0417,                 0.0001,                  3e-05,                 2.4989,                  5.019,                 3.8856,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.0553,                 4.0744,                 3.0625,                0.00025,                0.06023,                0.00147,                 0.0003,                  2.273,                 5.0187,                 3.4318,              0.0011027,              0.0011027,              0.0011027
                      8,                 1.9536,                 3.8275,                 2.9555,                0.88072,                0.02727,                0.03838,                0.01162,                 2.0442,                 4.4378,                 3.2972,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.8847,                  3.654,                 2.8834,                0.63943,                0.06023,                0.04505,                0.00991,                 2.0135,                 5.0451,                 3.1639,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.8269,                 3.5899,                 2.8422,                 0.5429,                0.02727,                0.02573,                0.00933,                 2.0028,                 4.5255,                 3.2176,               0.001217,               0.001217,               0.001217
                     11,                 1.7933,                 3.4287,                 2.8049,                0.29542,                0.14091,                0.07253,                0.01955,                 1.6612,                 3.8718,                 2.8584,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.7169,                 3.3744,                 2.7163,                0.46237,                0.14318,                0.11654,                0.04011,                 1.6537,                 3.4611,                 2.8387,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6713,                 3.3331,                 2.7026,                0.36805,                0.28636,                0.10767,                0.04165,                 1.5198,                 6.6793,                 2.8401,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.6724,                 3.2106,                 2.6582,                0.61377,                0.10114,                0.09394,                0.02473,                 1.6934,                 3.6629,                 2.9285,              0.0012005,              0.0012005,              0.0012005
                     15,                   1.62,                 3.1328,                 2.6094,                0.42735,                0.17461,                0.15566,                0.05468,                  1.481,                 3.5884,                 2.7363,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.6004,                 3.0134,                 2.5771,                0.46938,                0.27386,                0.18127,                0.06911,                 1.4176,                 3.9306,                  2.661,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5543,                 2.9818,                 2.5516,                0.51107,                0.25227,                0.18111,                0.06809,                 1.4477,                 3.9737,                 2.6594,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.5328,                 2.9548,                 2.5384,                0.41425,                0.20114,                0.14699,                0.05776,                  1.393,                  3.128,                 2.6533,               0.001184,               0.001184,               0.001184
                     19,                 1.5229,                 2.9377,                 2.4986,                0.69798,                0.19773,                0.13462,                0.05277,                 1.4625,                 3.6521,                 2.6347,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.5133,                 2.9064,                 2.4853,                 0.4169,                0.23068,                0.16055,                0.07255,                 1.4142,                 2.9613,                 2.5997,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.5154,                 2.8328,                  2.481,                0.53989,                 0.3125,                0.24651,                0.09469,                  1.398,                 2.8951,                 2.6177,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4512,                 2.7943,                 2.4117,                0.46248,                0.25341,                0.16843,                0.06358,                 1.4891,                 3.0123,                 2.6533,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.4141,                 2.7943,                 2.3942,                0.45803,                0.31923,                0.25233,                0.09716,                  1.334,                 2.9168,                    2.5,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.4238,                 2.6926,                 2.4101,                0.50847,                0.29773,                0.27017,                0.10897,                 1.3741,                 2.7747,                 2.5665,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.3943,                 2.6892,                 2.3859,                0.39045,                0.29598,                0.26714,                 0.0967,                 1.3504,                 3.2283,                 2.5224,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.3666,                 2.5852,                 2.3047,                0.51233,                 0.3125,                0.25591,                0.09055,                 1.4124,                 2.6465,                 2.5942,               0.001151,               0.001151,               0.001151
                     27,                 1.3603,                 2.6227,                 2.3534,                0.37847,                0.32787,                0.24766,                0.10687,                 1.3377,                 2.7845,                 2.5291,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.3305,                 2.5967,                 2.3169,                0.50602,                0.29122,                0.27992,                 0.1158,                 1.3645,                 2.5324,                 2.5561,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.3313,                 2.5348,                 2.3172,                0.17327,                0.30682,                0.22209,                 0.0866,                 1.3372,                 2.6632,                 2.5282,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.3173,                 2.5353,                 2.2864,                 0.4843,                0.33985,                0.36293,                0.15452,                 1.3584,                 2.5529,                 2.5023,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.2896,                 2.4503,                 2.2445,                0.44258,                0.40163,                0.36777,                0.16116,                 1.2742,                 2.3746,                 2.4681,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.3131,                 2.3697,                 2.2963,                0.18321,                0.32744,                0.28192,                0.12179,                 1.3155,                 2.8581,                 2.5253,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.3291,                 2.4541,                 2.2756,                0.34895,                0.47084,                0.32687,                0.13462,                 1.2573,                 2.6159,                 2.4043,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.2608,                 2.3188,                 2.2464,                0.32665,                0.40331,                0.31383,                0.13169,                 1.2107,                 2.6749,                 2.3957,               0.001118,               0.001118,               0.001118
                     35,                 1.2525,                 2.3331,                 2.2413,                0.61243,                0.25341,                0.30678,                0.12406,                 1.2977,                 2.7469,                 2.4524,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.2416,                 2.3282,                 2.2349,                0.38135,                0.37551,                0.36315,                0.16859,                 1.2698,                 2.3462,                 2.4433,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.2622,                 2.3364,                 2.2565,                0.41464,                0.29359,                0.32461,                 0.1391,                  1.283,                 2.7311,                 2.4352,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.2384,                 2.2738,                  2.207,                 0.4601,                0.36213,                0.37481,                0.16565,                 1.2749,                 2.4228,                 2.4155,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.2286,                 2.2887,                 2.2097,                0.34592,                0.47506,                0.41015,                0.18142,                 1.2685,                 2.4582,                 2.4367,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2235,                 2.2257,                 2.1759,                 0.4646,                0.43943,                0.37059,                0.15104,                 1.2957,                 2.4005,                   2.42,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.2074,                 2.2049,                 2.1687,                0.41314,                0.38424,                0.39343,                0.17957,                 1.1926,                   2.28,                 2.3747,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.1901,                 2.1212,                 2.1524,                0.41053,                0.40812,                0.37702,                0.14945,                 1.2255,                  2.403,                 2.4105,               0.001085,               0.001085,               0.001085
                     43,                 1.1849,                 2.1482,                 2.1352,                0.44852,                0.40583,                0.40222,                0.17427,                 1.2825,                 2.2414,                 2.4058,              0.0010809,              0.0010809,              0.0010809
