                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2985,                 5.3033,                 4.2177,                  4e-05,                0.00455,                  2e-05,                      0,                 2.7027,                 4.9795,                 4.1563,              0.0001625,              0.0001625,              0.0001625
                      2,                 3.2861,                 5.0097,                 4.1396,                  4e-05,                0.00455,                  2e-05,                      0,                 2.6824,                 4.9685,                 4.1365,             0.00033639,             0.00033639,             0.00033639
                      3,                 2.8868,                 4.5941,                 3.9152,                  5e-05,                0.00455,                  2e-05,                  1e-05,                 2.6684,                 4.9136,                 4.1284,             0.00050912,             0.00050912,             0.00050912
                      4,                 2.5722,                 4.2784,                 3.5875,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 2.6027,                 4.9072,                 4.0509,             0.00068069,             0.00068069,             0.00068069
                      5,                 2.3172,                 4.1211,                  3.359,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 2.4425,                 4.6109,                 3.7197,             0.00085111,             0.00085111,             0.00085111
                      6,                 2.1944,                 3.9705,                 3.2254,                0.00034,                0.06897,                 0.0119,                0.00305,                 2.4022,                 4.6403,                 3.5176,              0.0010204,              0.0010204,              0.0010204
                      7,                 2.0333,                 3.8651,                 3.0551,                0.53658,                0.04886,                0.01219,                0.00334,                 2.2143,                 4.5567,                  3.437,              0.0011885,              0.0011885,              0.0011885
                      8,                 2.0181,                 3.7637,                 2.9864,                0.56957,                0.09659,                0.04111,                 0.0106,                 2.3214,                 4.1594,                 3.5083,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.9638,                 3.6264,                  2.909,                0.51778,                0.16477,                0.02026,                0.00705,                 2.3449,                 23.269,                  3.614,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.8767,                 3.4647,                 2.8688,                0.57669,                0.15568,                0.06485,                0.01816,                 1.6915,                 3.6526,                 2.9941,               0.001217,               0.001217,               0.001217
                     11,                 1.7448,                 3.3254,                 2.7775,                0.32278,                0.19545,                0.08351,                0.03186,                 1.6349,                 3.7008,                 2.9076,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.7329,                 3.3016,                 2.7504,                0.31795,                0.04545,                0.02277,                 0.0069,                 1.7176,                  4.125,                 2.9728,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6454,                 3.2044,                  2.666,                0.28779,                0.04091,                0.02953,                0.00852,                 1.7385,                 3.6562,                 3.0657,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.6635,                 3.1339,                 2.6719,                0.42909,                0.20682,                0.10464,                 0.0335,                 1.7157,                 4.5756,                 2.9442,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.6168,                 3.0975,                 2.6269,                0.44098,                0.17126,                0.16845,                0.05987,                 1.5416,                 3.1272,                 2.7743,              0.0011964,              0.0011964,              0.0011964
