                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.523,                 5.6262,                 4.2323,                  4e-05,                0.00455,                  2e-05,                      0,                 2.2248,                 4.8045,                 4.1596,              0.0002375,              0.0002375,              0.0002375
                      2,                 2.5154,                 5.1701,                 4.1074,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 2.2059,                 4.8038,                 4.1362,             0.00048589,             0.00048589,             0.00048589
                      3,                 2.4125,                 4.8185,                 3.8538,                  4e-05,                0.00455,                  2e-05,                  1e-05,                 2.2177,                 4.8516,                 4.1777,             0.00073263,             0.00073263,             0.00073263
                      4,                 2.2461,                 4.5113,                 3.6078,                  6e-05,                0.00455,                  3e-05,                      0,                  2.234,                 4.8546,                 4.1402,             0.00097772,             0.00097772,             0.00097772
                      5,                  2.109,                 4.5019,                 3.4676,                0.00085,                 0.1753,                0.00246,                0.00059,                 2.0381,                 4.6411,                 3.7915,              0.0012212,              0.0012212,              0.0012212
                      6,                 1.9841,                 4.3593,                 3.3161,                0.52313,                   0.05,                0.00839,                0.00279,                 1.9332,                 6.5268,                 3.6021,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.9244,                 4.2344,                 3.2089,                0.91659,                0.00909,                0.00906,                0.00193,                 1.9114,                 4.5265,                  3.557,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.8144,                 4.1561,                 3.1368,                0.81477,                  0.075,                0.04873,                0.01204,                 1.6299,                 4.1811,                 3.0237,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.7809,                 4.0255,                 3.0625,                0.71319,                0.11364,                0.05273,                0.01306,                 1.8044,                 4.3386,                 3.0435,              0.0012211,              0.0012211,              0.0012211
                     10,                  1.719,                 3.9202,                 3.0451,                0.73964,                0.17626,                0.17087,                0.05342,                  1.563,                 3.5488,                 2.8545,               0.001217,               0.001217,               0.001217
                     11,                  1.642,                 3.7606,                 2.9693,                0.82467,                    0.1,                0.05043,                0.01185,                 1.8923,                 4.6448,                 3.1068,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.6592,                 3.7707,                 2.9383,                 0.6659,                 0.1499,                0.08347,                0.02727,                 1.4932,                 4.6931,                 2.9034,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6462,                  3.718,                 2.9053,                0.68085,                0.16364,                 0.1596,                0.06171,                 1.4538,                 3.4604,                 2.7027,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.6091,                 3.6612,                 2.8939,                0.43926,                0.15425,                0.11823,                0.03705,                 1.5294,                 3.7858,                 2.8876,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.5691,                 3.5973,                 2.8889,                 0.4079,                0.16477,                0.15176,                  0.063,                 1.5359,                 3.6267,                 2.9446,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.5566,                 3.5264,                 2.8298,                 0.4106,                0.14545,                0.10854,                0.03073,                 1.4546,                 3.4429,                 2.7041,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.5605,                 3.4595,                 2.8395,                0.44071,                 0.2369,                0.16648,                0.06784,                 1.4406,                 3.2569,                 2.6921,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.5271,                  3.502,                 2.8154,                0.41281,                0.19091,                0.16342,                0.06024,                 1.4117,                 3.3883,                 2.7133,               0.001184,               0.001184,               0.001184
                     19,                 1.4765,                 3.4099,                 2.7763,                 0.4288,                0.25795,                0.17932,                0.07287,                 1.3883,                 3.1579,                 2.7062,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.4281,                 3.3549,                 2.7174,                0.36932,                0.17386,                0.14386,                 0.0408,                 1.4355,                 3.1448,                 2.6486,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.4688,                 3.3024,                 2.7407,                0.43108,                0.24545,                 0.1714,                 0.0679,                  1.372,                 3.0547,                 2.6322,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4374,                 3.2424,                 2.7203,                0.37119,                0.26705,                0.13339,                0.04668,                 1.3663,                  3.142,                 2.6347,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.3794,                  3.235,                 2.7058,                0.54453,                0.25544,                0.22717,                0.08404,                    1.4,                 2.9804,                 2.6966,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.4048,                 3.1561,                 2.7167,                 0.5331,                0.21713,                0.20236,                0.08217,                 1.3993,                 3.0495,                 2.6602,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.3919,                 3.1424,                 2.6979,                0.46211,                0.18409,                 0.1934,                0.07727,                 1.4155,                 3.2313,                 2.6785,              0.0011551,              0.0011551,              0.0011551
                     26,                  1.364,                 3.1055,                 2.6456,                0.43569,                0.25232,                0.22769,                0.09476,                 1.2958,                  2.895,                 2.4665,               0.001151,               0.001151,               0.001151
                     27,                  1.363,                 3.0903,                 2.6233,                0.48735,                0.28523,                0.23304,                0.09251,                 1.3049,                 2.9386,                 2.5712,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.3284,                 3.0745,                 2.6119,                 0.2066,                0.36977,                0.23629,                0.09556,                 1.3165,                 3.0201,                 2.5727,              0.0011428,              0.0011428,              0.0011428
                     29,                  1.294,                 3.0309,                 2.6184,                0.52857,                0.26818,                0.26282,                0.09852,                 1.3335,                 2.6789,                 2.5882,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.3074,                 2.9469,                 2.5956,                0.78699,                0.25192,                0.27932,                0.12056,                 1.2536,                 2.7465,                  2.469,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.3388,                 3.0065,                 2.6199,                0.46849,                0.15455,                0.23855,                0.10336,                 1.3181,                 2.8169,                 2.4559,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.2821,                 2.9556,                 2.5522,                0.55092,                0.27337,                0.26595,                0.10286,                 1.2541,                 2.6467,                  2.448,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.3007,                 2.8983,                 2.6159,                0.47379,                0.26705,                0.27897,                0.10924,                 1.2327,                 2.6393,                 2.4906,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.2907,                 2.8391,                 2.5678,                0.31652,                0.25966,                0.25577,                0.10118,                  1.368,                 2.8688,                 2.4969,               0.001118,               0.001118,               0.001118
