                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.095,                 5.4703,                 4.2036,                  4e-05,                0.00455,                  2e-05,                      0,                 2.7221,                 5.2324,                 4.1328,              0.0032941,              0.0032941,              0.0032941
                      2,                 2.5066,                 4.5725,                 3.7616,                0.80111,                    0.1,                  0.069,                0.01504,                 1.8601,                 4.4588,                 3.6515,              0.0066056,              0.0066056,              0.0066056
                      3,                 2.0064,                 4.1091,                 3.3011,                0.80565,                    0.1,                0.06412,                0.02129,                 1.9413,                 9.0399,                 3.4789,               0.009895,               0.009895,               0.009895
                      4,                 1.7606,                 3.6877,                 3.0119,                0.34176,                0.19773,                0.08496,                0.02445,                 1.5988,                 9.7284,                 3.0743,               0.009901,               0.009901,               0.009901
                      5,                 1.5502,                 3.2963,                 2.7745,                0.40031,                0.14091,                 0.0955,                0.03354,                   1.38,                 8.8946,                 2.8952,               0.009901,               0.009901,               0.009901
                      6,                 1.3985,                 3.0646,                 2.6167,                0.47402,                 0.3091,                0.24598,                0.07809,                 1.4621,                 3.1472,                 2.7388,               0.009868,               0.009868,               0.009868
                      7,                 1.3078,                 2.8275,                 2.5044,                0.26573,                0.30909,                0.23369,                0.09395,                 1.3563,                 3.1227,                 2.7415,               0.009835,               0.009835,               0.009835
                      8,                 1.2159,                 2.6492,                 2.3964,                0.25103,                0.43552,                0.29129,                0.11916,                  1.248,                 4.5035,                 2.5791,               0.009802,               0.009802,               0.009802
                      9,                 1.1595,                 2.5028,                  2.316,                0.48363,                0.49423,                0.45302,                0.18337,                 1.1252,                 2.1931,                 2.3834,               0.009769,               0.009769,               0.009769
                     10,                 1.1332,                 2.3978,                 2.2744,                0.44188,                0.52821,                0.45695,                0.19453,                 1.1762,                 2.1305,                 2.4194,               0.009736,               0.009736,               0.009736
                     11,                 1.0844,                 2.2686,                 2.2239,                0.48814,                0.42413,                 0.4438,                0.19262,                 1.2507,                 2.3429,                  2.584,               0.009703,               0.009703,               0.009703
                     12,                 1.0506,                 2.1621,                 2.1705,                0.50594,                0.47335,                0.42822,                0.17207,                 1.1709,                 2.2414,                  2.451,                0.00967,                0.00967,                0.00967
                     13,                 1.0183,                 2.0742,                 2.1299,                0.54588,                0.53885,                0.53962,                0.22077,                 1.1693,                 2.1688,                 2.3731,               0.009637,               0.009637,               0.009637
                     14,                 1.0054,                 1.9802,                 2.0977,                 0.8425,                0.49121,                0.62309,                0.28065,                   1.08,                 1.7284,                  2.274,               0.009604,               0.009604,               0.009604
                     15,                0.98741,                 1.9266,                 2.0418,                0.58918,                0.56082,                0.60622,                0.27403,                 1.0953,                 1.7552,                 2.2924,               0.009571,               0.009571,               0.009571
                     16,                0.97194,                 1.8623,                 1.9988,                0.62957,                0.53167,                0.60125,                0.24472,                 1.0854,                 1.8934,                 2.3469,               0.009538,               0.009538,               0.009538
                     17,                0.93847,                 1.7903,                 1.9886,                0.69561,                0.65949,                0.70805,                0.32815,                0.98528,                 1.6002,                 2.1439,               0.009505,               0.009505,               0.009505
                     18,                0.95833,                  1.754,                 1.9905,                0.74771,                 0.6221,                 0.7044,                0.32915,                0.98775,                 1.5752,                 2.1369,               0.009472,               0.009472,               0.009472
                     19,                 0.9113,                 1.6765,                 1.9293,                0.75762,                0.58389,                 0.7086,                0.31182,                 1.0495,                 1.5382,                 2.1953,               0.009439,               0.009439,               0.009439
                     20,                 0.9091,                 1.6442,                 1.9173,                0.69482,                0.58645,                0.66986,                0.29371,                 1.1978,                 1.5284,                 2.2442,               0.009406,               0.009406,               0.009406
                     21,                0.88763,                 1.6253,                 1.8883,                0.71021,                0.69027,                0.75321,                0.36618,                 1.0146,                 1.3604,                  2.157,               0.009373,               0.009373,               0.009373
                     22,                0.89632,                 1.5767,                 1.8739,                0.65877,                0.64034,                0.69667,                0.34428,                 1.0817,                  1.463,                 2.1647,                0.00934,                0.00934,                0.00934
                     23,                0.87645,                 1.5589,                 1.8379,                0.64855,                0.78905,                 0.7776,                0.37249,                 1.0158,                 1.3661,                 2.0858,               0.009307,               0.009307,               0.009307
                     24,                0.85139,                 1.4833,                 1.7933,                  0.822,                0.68498,                0.81247,                0.38545,                 1.0635,                 1.2188,                 2.0519,               0.009274,               0.009274,               0.009274
                     25,                0.85165,                 1.4876,                 1.8056,                0.68039,                0.67359,                0.73713,                0.35207,                 1.0677,                 1.3529,                 2.0961,               0.009241,               0.009241,               0.009241
                     26,                 0.8387,                 1.4464,                 1.7714,                 0.8438,                0.73221,                0.83749,                0.40367,                0.96563,                 1.1221,                 2.0232,               0.009208,               0.009208,               0.009208
                     27,                0.82634,                 1.4034,                 1.7699,                0.61776,                0.76574,                0.76158,                0.39899,                0.97896,                 1.2806,                 2.0666,               0.009175,               0.009175,               0.009175
                     28,                0.81243,                 1.4096,                 1.7432,                0.79263,                0.75728,                0.82727,                0.42008,                0.91412,                  1.172,                 1.9467,               0.009142,               0.009142,               0.009142
                     29,                0.82221,                 1.3518,                 1.7336,                0.75638,                0.73572,                0.76424,                0.37982,                 1.0175,                 1.1613,                  1.998,               0.009109,               0.009109,               0.009109
                     30,                0.80623,                 1.3101,                 1.7014,                 0.7525,                0.73531,                0.81692,                0.42799,                0.93914,                 1.0796,                 1.9407,               0.009076,               0.009076,               0.009076
                     31,                0.80689,                 1.3126,                  1.713,                0.88082,                0.73368,                0.84179,                0.43608,                 1.0704,                 1.0609,                 2.0825,               0.009043,               0.009043,               0.009043
                     32,                0.81261,                 1.2917,                 1.6972,                0.80389,                0.72259,                 0.8311,                0.41802,                0.97151,                 1.1248,                 1.9672,                0.00901,                0.00901,                0.00901
                     33,                0.79944,                 1.2941,                 1.6896,                0.82562,                0.83066,                0.89061,                0.45446,                0.96977,                0.97341,                 1.9071,               0.008977,               0.008977,               0.008977
                     34,                0.78977,                 1.2449,                 1.6652,                0.79824,                0.77515,                0.85725,                0.46275,                0.96314,                0.99117,                 1.9059,               0.008944,               0.008944,               0.008944
                     35,                0.78779,                 1.2391,                 1.6485,                0.82628,                0.80648,                0.89363,                 0.4702,                0.88726,                0.97104,                 1.8287,               0.008911,               0.008911,               0.008911
                     36,                0.79069,                 1.2136,                 1.6623,                0.87864,                0.82698,                0.89628,                0.47035,                0.93317,                0.97986,                 1.9178,               0.008878,               0.008878,               0.008878
                     37,                0.76465,                 1.1702,                 1.6233,                0.84681,                0.81699,                0.88227,                0.46614,                0.95842,                 1.0389,                 1.9226,               0.008845,               0.008845,               0.008845
                     38,                0.76442,                 1.1694,                 1.6057,                0.81099,                0.83991,                0.87608,                0.49742,                0.84339,                0.93318,                 1.8408,               0.008812,               0.008812,               0.008812
                     39,                0.77165,                 1.1481,                 1.6118,                0.82506,                0.74928,                0.83682,                0.43499,                0.96757,                 1.0666,                 1.9117,               0.008779,               0.008779,               0.008779
                     40,                0.77543,                  1.147,                 1.6051,                0.86983,                0.84391,                0.88236,                0.48103,                0.96597,                0.95224,                  1.923,               0.008746,               0.008746,               0.008746
                     41,                0.76132,                 1.1358,                  1.593,                0.81164,                0.82901,                0.88731,                0.47772,                0.92573,                 1.0008,                 1.8225,               0.008713,               0.008713,               0.008713
                     42,                0.77193,                 1.1551,                 1.5834,                0.78077,                0.83967,                0.88616,                0.48623,                0.92358,                0.95163,                 1.7985,                0.00868,                0.00868,                0.00868
                     43,                0.75137,                 1.1082,                 1.5738,                0.85244,                0.82789,                0.89186,                0.49219,                0.89163,                 0.9187,                 1.8542,               0.008647,               0.008647,               0.008647
                     44,                0.74105,                 1.0794,                 1.5441,                0.92166,                0.79349,                0.90025,                0.49545,                0.89244,                0.90055,                 1.8322,               0.008614,               0.008614,               0.008614
                     45,                0.75175,                 1.0906,                 1.5612,                0.91667,                  0.796,                0.90573,                0.52322,                0.82748,                0.86545,                 1.7347,               0.008581,               0.008581,               0.008581
                     46,                0.73962,                   1.06,                 1.5443,                0.89632,                0.81001,                0.90961,                0.50926,                 0.8559,                0.87768,                 1.7664,               0.008548,               0.008548,               0.008548
                     47,                0.72661,                  1.049,                 1.5228,                0.81615,                0.82854,                0.86558,                0.48262,                0.90619,                0.84087,                 1.7667,               0.008515,               0.008515,               0.008515
                     48,                0.71997,                 1.0252,                 1.5102,                0.86177,                0.90886,                0.92308,                0.52217,                0.87127,                0.83043,                 1.7509,               0.008482,               0.008482,               0.008482
                     49,                 0.7179,                 1.0405,                  1.514,                0.86141,                0.85649,                0.87864,                0.50667,                0.89184,                0.85611,                 1.7804,               0.008449,               0.008449,               0.008449
                     50,                0.71861,                 1.0107,                 1.5032,                0.83017,                0.80079,                0.88961,                0.51559,                0.90892,                0.82403,                 1.7413,               0.008416,               0.008416,               0.008416
                     51,                0.69838,                 0.9817,                  1.473,                0.90548,                0.86063,                0.91243,                0.53158,                0.89541,                0.83574,                 1.7801,               0.008383,               0.008383,               0.008383
                     52,                0.69429,                0.97786,                 1.4623,                 0.8197,                0.91888,                0.92243,                0.55305,                0.87546,                0.81621,                 1.7412,                0.00835,                0.00835,                0.00835
                     53,                 0.6932,                0.97861,                 1.4695,                0.83388,                0.88039,                0.88702,                0.52203,                0.88901,                0.88436,                 1.7615,               0.008317,               0.008317,               0.008317
                     54,                0.68599,                0.94493,                 1.4538,                0.88305,                 0.8031,                0.88961,                0.51945,                0.89998,                0.82531,                 1.7203,               0.008284,               0.008284,               0.008284
                     55,                0.69501,                0.95742,                 1.4524,                0.84698,                0.88291,                0.92331,                0.51759,                0.85675,                0.78667,                 1.7056,               0.008251,               0.008251,               0.008251
                     56,                0.69925,                0.93812,                 1.4528,                0.85179,                0.91278,                0.93623,                0.54734,                0.87524,                0.77135,                 1.7409,               0.008218,               0.008218,               0.008218
                     57,                 0.6881,                0.94585,                 1.4486,                0.93932,                0.89381,                   0.95,                0.55539,                0.89514,                 0.7624,                 1.7081,               0.008185,               0.008185,               0.008185
                     58,                0.67673,                0.91667,                 1.4405,                0.85575,                0.90065,                0.92345,                0.55117,                 0.8612,                 0.7848,                  1.673,               0.008152,               0.008152,               0.008152
                     59,                0.67591,                 0.9222,                 1.4199,                0.83896,                0.91422,                0.93874,                0.55516,                0.85012,                  0.744,                 1.6969,               0.008119,               0.008119,               0.008119
                     60,                0.66995,                0.91239,                 1.4283,                0.92594,                 0.8725,                0.95288,                 0.5573,                0.89183,                0.75084,                 1.7018,               0.008086,               0.008086,               0.008086
                     61,                0.67784,                0.88506,                 1.4289,                0.92197,                0.90368,                0.92489,                0.55932,                0.90171,                0.72257,                 1.7192,               0.008053,               0.008053,               0.008053
                     62,                0.68316,                0.88982,                  1.431,                0.87772,                0.88045,                0.90302,                0.52165,                0.85684,                0.77181,                 1.6927,                0.00802,                0.00802,                0.00802
                     63,                0.67532,                0.87441,                 1.4044,                0.91974,                0.90845,                0.95067,                0.57362,                0.82574,                0.72354,                  1.655,               0.007987,               0.007987,               0.007987
                     64,                0.65837,                0.85587,                 1.3892,                0.88867,                0.94624,                0.94571,                0.56277,                0.96502,                0.71081,                 1.7264,               0.007954,               0.007954,               0.007954
                     65,                0.66607,                0.86704,                 1.4083,                0.89322,                0.94294,                 0.9447,                0.56725,                0.87539,                0.67877,                 1.6341,               0.007921,               0.007921,               0.007921
                     66,                0.66749,                0.86466,                 1.3931,                0.90571,                0.95571,                0.95766,                0.56171,                0.86742,                0.71629,                 1.6617,               0.007888,               0.007888,               0.007888
                     67,                0.66283,                0.86398,                 1.3811,                0.91904,                 0.8966,                0.92996,                0.56068,                0.84334,                0.72067,                 1.6458,               0.007855,               0.007855,               0.007855
                     68,                0.66979,                0.84807,                 1.3861,                0.93823,                0.86323,                0.93624,                0.57991,                0.77518,                0.66367,                 1.6024,               0.007822,               0.007822,               0.007822
                     69,                0.63848,                0.81719,                 1.3493,                0.92272,                0.91224,                0.94805,                0.57245,                0.86065,                0.65544,                 1.6403,               0.007789,               0.007789,               0.007789
                     70,                0.65782,                0.83288,                 1.3599,                0.92865,                0.89707,                0.93078,                0.58461,                0.78542,                0.67451,                  1.593,               0.007756,               0.007756,               0.007756
                     71,                0.66617,                 0.8533,                 1.3732,                 0.9293,                0.88697,                0.92566,                0.57576,                 0.7945,                0.66807,                  1.608,               0.007723,               0.007723,               0.007723
                     72,                0.64403,                0.81016,                 1.3585,                0.94351,                0.95558,                0.95374,                0.58302,                0.88711,                0.65119,                 1.6765,                0.00769,                0.00769,                0.00769
                     73,                  0.659,                0.81794,                 1.3589,                0.92669,                0.93973,                0.94818,                   0.56,                0.83657,                0.65698,                 1.6209,               0.007657,               0.007657,               0.007657
                     74,                0.65396,                0.81929,                 1.3534,                0.96943,                0.92808,                0.96397,                0.58916,                0.88307,                0.64386,                 1.6269,               0.007624,               0.007624,               0.007624
                     75,                0.64534,                0.80581,                 1.3439,                0.95614,                0.94064,                0.95603,                0.58636,                0.85684,                0.65606,                  1.623,               0.007591,               0.007591,               0.007591
                     76,                0.65546,                0.79355,                 1.3457,                0.93772,                0.91928,                0.94412,                0.59846,                0.80376,                0.62928,                 1.5882,               0.007558,               0.007558,               0.007558
                     77,                0.67051,                0.81494,                 1.3606,                0.92082,                0.93246,                0.93966,                0.58367,                0.84144,                0.67599,                 1.6023,               0.007525,               0.007525,               0.007525
                     78,                0.64915,                0.78532,                  1.341,                 0.9271,                0.94881,                0.96012,                0.59997,                0.79755,                0.62917,                  1.547,               0.007492,               0.007492,               0.007492
                     79,                 0.6484,                0.78611,                  1.336,                0.93022,                0.89385,                0.95052,                0.59113,                0.81002,                0.65548,                 1.5775,               0.007459,               0.007459,               0.007459
                     80,                0.65551,                 0.7726,                 1.3396,                0.90272,                 0.9359,                0.94911,                0.61703,                0.79782,                0.59131,                 1.5446,               0.007426,               0.007426,               0.007426
