                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8228,                 5.0535,                 4.0609,                0.28637,                0.12614,                0.02588,                0.00719,                 2.2616,                 4.4819,                 3.9893,              0.0033202,              0.0033202,              0.0033202
                      2,                 1.8583,                 3.9144,                 3.2215,                 0.3801,                0.24647,                  0.138,                0.05886,                 1.3465,                 3.2576,                 2.8883,              0.0066315,              0.0066315,              0.0066315
                      3,                 1.4845,                 3.2426,                 2.7843,                0.38211,                0.27113,                0.21112,                0.07509,                 1.4513,                 3.5401,                  2.827,              0.0099209,              0.0099209,              0.0099209
                      4,                  1.277,                 2.7484,                 2.4974,                0.33913,                0.36621,                0.35609,                0.14922,                 1.1945,                 2.4188,                  2.465,               0.009901,               0.009901,               0.009901
                      5,                 1.1673,                 2.3755,                 2.3365,                0.44537,                0.64556,                0.51573,                0.22308,                 1.0642,                 2.0493,                 2.2751,               0.009901,               0.009901,               0.009901
                      6,                 1.0912,                 2.1419,                 2.2069,                0.66523,                0.48648,                0.51284,                0.22835,                 1.1409,                 2.0601,                 2.3171,               0.009868,               0.009868,               0.009868
                      7,                 1.0406,                 1.9658,                 2.1268,                0.75824,                0.63032,                0.69837,                 0.3314,                  1.002,                 1.6064,                 2.1496,               0.009835,               0.009835,               0.009835
                      8,                 1.0094,                 1.8196,                 2.0625,                0.81837,                0.59025,                 0.7417,                0.34392,                0.97552,                 1.4415,                 2.1122,               0.009802,               0.009802,               0.009802
                      9,                0.98252,                 1.7214,                 1.9959,                0.75877,                0.67542,                0.77648,                0.36897,                 1.0189,                 1.3256,                 2.0833,               0.009769,               0.009769,               0.009769
                     10,                0.96852,                 1.6225,                 1.9543,                0.78624,                0.74423,                0.81711,                0.39689,                  1.046,                 1.2903,                 2.0659,               0.009736,               0.009736,               0.009736
                     11,                0.94303,                   1.54,                 1.9073,                0.80297,                0.77738,                0.84962,                0.39671,                 1.0658,                 1.2214,                 2.0984,               0.009703,               0.009703,               0.009703
                     12,                0.92527,                 1.4744,                 1.8527,                0.76209,                0.81272,                0.84794,                0.42263,                0.94294,                 1.0818,                  1.938,                0.00967,                0.00967,                0.00967
