                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4223,                 4.6762,                 4.2281,                      0,                      0,                      0,                      0,                 3.1387,                 4.2651,                 4.1578,                0.00015,                0.00015,                0.00015
                      2,                 3.5122,                 4.4366,                 4.1697,                      0,                      0,                      0,                      0,                 3.1401,                 4.2532,                 4.1507,             0.00031147,             0.00031147,             0.00031147
                      3,                 3.3059,                 4.0989,                  4.037,                      0,                      0,                      0,                      0,                 3.1429,                 4.2776,                 4.1429,             0.00047187,             0.00047187,             0.00047187
                      4,                  2.825,                 3.8208,                 3.7672,                      0,                      0,                      0,                      0,                 3.1431,                 4.3198,                 4.1446,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.5486,                 3.7177,                 3.5012,                      0,                      0,                      0,                      0,                 3.1367,                 4.3215,                 4.1545,             0.00078944,             0.00078944,             0.00078944
                      6,                  2.258,                  3.701,                 3.3152,                      0,                      0,                      0,                      0,                  3.089,                 4.4087,                  4.164,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.1532,                 3.5813,                 3.2266,                0.01473,                0.08068,                0.01841,                0.00616,                 2.5986,                  4.125,                 3.8718,              0.0011027,              0.0011027,              0.0011027
                      8,                 2.0337,                 3.4556,                 3.0978,                0.76343,                0.01818,                0.00784,                0.00265,                 2.5101,                 4.2531,                 3.8306,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.9923,                 3.4307,                 3.0058,                0.58921,                0.03523,                0.02281,                0.00838,                  2.803,                 4.0834,                 3.8068,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.9739,                 3.2995,                 2.9913,                0.52102,                0.03182,                0.03926,                0.01244,                 1.9995,                 3.7297,                 3.4988,               0.001217,               0.001217,               0.001217
                     11,                 1.9154,                 3.3161,                 2.9156,                0.72062,                0.06705,                0.05687,                0.02006,                 1.8331,                 3.9922,                 3.2338,              0.0012129,              0.0012129,              0.0012129
                     12,                  1.816,                 3.2337,                 2.8632,                0.30968,                0.07045,                0.03493,                0.01046,                 2.0072,                 3.7411,                 3.2416,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.7853,                 3.1489,                 2.8085,                0.33339,                0.08068,                0.05172,                0.01899,                 2.0317,                  3.531,                 3.2376,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.7369,                 3.1265,                 2.7819,                0.33558,                   0.15,                0.06073,                0.02032,                 1.5609,                 3.6848,                 2.9977,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.7056,                 3.1038,                 2.7649,                0.39778,                0.15682,                0.10696,                0.03253,                 1.5862,                 3.4408,                 2.9947,              0.0011964,              0.0011964,              0.0011964
                     16,                  1.685,                 3.0732,                 2.7303,                0.72651,                0.12817,                0.12112,                0.03883,                 1.5543,                 3.1332,                 2.9561,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.6261,                 2.9787,                 2.6727,                0.29162,                0.06818,                0.03537,                0.01105,                 1.8068,                 3.9062,                 3.0605,              0.0011881,              0.0011881,              0.0011881
                     18,                  1.634,                 2.9714,                 2.6505,                0.56502,                0.14091,                0.13185,                0.04622,                  1.486,                 3.2563,                  2.912,               0.001184,               0.001184,               0.001184
                     19,                 1.5881,                 2.9446,                 2.6073,                0.36952,                0.25815,                0.14929,                 0.0512,                 1.5346,                 3.3904,                 2.9427,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.5759,                 2.8363,                 2.5921,                0.46241,                0.14777,                0.16316,                0.06185,                 1.4674,                 2.9429,                 2.9144,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.5302,                 2.7792,                 2.5575,                0.46163,                0.08977,                0.13986,                0.04306,                 1.5104,                 3.1136,                 2.9179,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.5019,                 2.7462,                 2.5381,                0.22131,                0.25632,                0.15216,                0.05452,                 1.4481,                 2.9134,                 2.8487,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.5363,                 2.7632,                 2.5535,                0.43114,                0.23181,                0.14667,                0.05669,                 1.4308,                 3.1017,                 2.7794,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.4642,                 2.8253,                  2.556,                0.50094,                0.21002,                0.17993,                0.06944,                 1.3037,                 2.9499,                 2.7473,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.4445,                   2.71,                 2.5156,                0.39205,                 0.2125,                0.17244,                0.06661,                 1.3426,                 2.7076,                 2.7346,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.4733,                 2.6543,                 2.4947,                0.75696,                0.09773,                0.14994,                0.05114,                 1.4684,                 3.0107,                 2.8452,               0.001151,               0.001151,               0.001151
                     27,                 1.4644,                 2.7184,                 2.5225,                0.25272,                0.16244,                0.18061,                0.07868,                 1.3824,                 2.9006,                  2.779,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.4031,                 2.6265,                 2.4695,                 0.5035,                0.31474,                0.23963,                0.09427,                 1.3683,                 2.8738,                 2.7759,              0.0011428,              0.0011428,              0.0011428
                     29,                  1.386,                 2.6471,                  2.452,                0.18124,                0.33132,                0.22368,                0.08434,                 1.4628,                 2.6291,                 2.8332,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.4325,                 2.6344,                 2.4691,                0.44193,                0.27159,                0.20429,                0.08206,                 1.2689,                  2.969,                 2.7089,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.4211,                 2.6108,                 2.4538,                0.56312,                0.25909,                0.27292,                 0.1094,                 1.3363,                 2.8171,                 2.7163,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.4271,                 2.5318,                 2.4282,                0.19312,                0.30455,                0.20623,                0.07985,                 1.3345,                 2.9945,                 2.7285,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.4257,                 2.5282,                 2.4361,                 0.2788,                0.30518,                0.21329,                0.08727,                 1.3163,                 2.5521,                 2.7565,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.3565,                 2.5195,                  2.395,                0.50815,                0.30513,                 0.2772,                0.09846,                  1.327,                 2.5379,                 2.7012,               0.001118,               0.001118,               0.001118
                     35,                 1.3319,                 2.4383,                 2.3957,                0.53313,                0.27045,                0.28108,                0.10384,                  1.335,                 2.5399,                 2.7544,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.3743,                 2.4922,                 2.4235,                 0.3753,                0.28147,                0.27869,                0.09736,                 1.2931,                 2.7088,                 2.6848,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.3801,                 2.4459,                 2.4371,                0.22175,                0.35114,                0.31274,                0.10878,                 1.3698,                 2.5724,                 2.7224,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.3301,                 2.4417,                 2.4055,                0.58973,                0.27604,                0.33547,                0.13226,                 1.2632,                 2.5166,                 2.6385,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.2895,                 2.3714,                 2.3548,                0.36693,                0.34223,                0.30923,                0.12374,                 1.2914,                 2.5241,                 2.6858,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2876,                 2.3737,                  2.323,                0.59532,                 0.2811,                0.24783,                0.10803,                 1.3784,                 2.7503,                 2.7778,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.3605,                 2.3923,                 2.3809,                0.51077,                 0.3445,                0.26594,                0.12071,                 1.3556,                 2.6243,                 2.7357,              0.0010891,              0.0010891,              0.0010891
