                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2532,                 6.3542,                 4.2272,                      0,                      0,                      0,                      0,                 2.7149,                 4.6019,                  4.158,                0.00015,                0.00015,                0.00015
                      2,                 3.2747,                 4.8607,                 4.1623,                      0,                      0,                      0,                      0,                 2.7084,                 4.5874,                 4.1441,             0.00031147,             0.00031147,             0.00031147
                      3,                 2.9422,                 4.5178,                 3.9912,                      0,                      0,                      0,                      0,                 2.6922,                 4.5933,                 4.1152,             0.00047187,             0.00047187,             0.00047187
                      4,                 2.7429,                 4.2235,                 3.6797,                      0,                      0,                      0,                      0,                 2.6767,                  4.616,                 4.0739,             0.00063119,             0.00063119,             0.00063119
                      5,                 2.3539,                  3.975,                 3.3804,                      0,                      0,                      0,                      0,                 2.6827,                 4.5568,                 4.0644,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.2229,                 3.8655,                 3.2159,                      0,                      0,                      0,                      0,                 2.5138,                 4.5455,                 3.8422,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.1066,                 3.7422,                 3.1114,                0.87327,                0.01332,                0.02094,                0.00735,                 2.4023,                 4.2822,                 3.8585,              0.0011027,              0.0011027,              0.0011027
                      8,                 1.9424,                 3.5728,                 2.9898,                0.02801,                0.07045,                0.02245,                0.00685,                 2.4006,                 4.3976,                 3.9796,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.8693,                 3.4247,                 2.8985,                0.58171,                0.11591,                0.03648,                0.00859,                 2.1751,                 4.1409,                 3.4723,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.8112,                 3.4311,                 2.8539,                0.62306,                0.11705,                0.08346,                0.02244,                 2.1252,                 3.6994,                 3.3596,               0.001217,               0.001217,               0.001217
                     11,                 1.7744,                 3.3157,                 2.8136,                0.55158,                0.05908,                  0.045,                0.01267,                 1.8172,                 3.4143,                 3.1074,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.6838,                 3.2399,                   2.68,                 0.5733,                 0.1375,                0.05085,                0.01209,                 2.0593,                 5.1136,                 3.4553,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.6429,                 3.2573,                  2.699,                0.82694,                  0.125,                0.14629,                0.04768,                  1.585,                 6.0052,                 2.8482,              0.0012046,              0.0012046,              0.0012046
                     14,                  1.629,                 3.1273,                 2.6428,                0.36475,                0.18872,                0.12209,                0.04936,                 1.6301,                 3.3872,                  2.839,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.5581,                 3.0602,                 2.5802,                0.47634,                0.10795,                0.12235,                0.04517,                 1.4862,                 3.3244,                 2.7214,              0.0011964,              0.0011964,              0.0011964
                     16,                  1.554,                  3.025,                 2.5547,                0.79593,                0.17159,                0.16588,                0.06775,                 1.4331,                  3.028,                 2.6554,              0.0011922,              0.0011922,              0.0011922
                     17,                   1.54,                 3.0153,                 2.5521,                0.82154,                 0.0875,                0.11047,                0.03155,                 1.7345,                 4.2437,                 2.9306,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.5346,                 2.9628,                 2.5008,                0.40167,                0.11488,                0.12921,                0.05555,                 1.5568,                 3.1144,                 2.7305,               0.001184,               0.001184,               0.001184
                     19,                 1.4903,                 2.9012,                 2.4722,                0.76749,                0.17614,                0.21414,                0.07944,                  1.433,                  2.942,                 2.6028,              0.0011799,              0.0011799,              0.0011799
                     20,                  1.488,                 2.8735,                 2.4651,                0.43081,                  0.275,                0.19548,                0.07519,                 1.4134,                 2.8899,                  2.608,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.4847,                 2.8292,                 2.4626,                0.39207,                0.24318,                0.17149,                0.06642,                  1.344,                 2.7713,                 2.5368,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.4289,                 2.7527,                 2.3801,                0.45923,                0.14545,                0.16941,                0.05098,                 1.6381,                 3.0361,                  2.819,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.4128,                 2.7587,                 2.3838,                0.21278,                0.26262,                0.17452,                0.06546,                 1.4035,                 3.0154,                 2.5967,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.3858,                 2.6696,                 2.3819,                0.52348,                0.20455,                0.18474,                0.07287,                 1.5059,                 3.2409,                 2.7062,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.3872,                 2.6743,                 2.4019,                0.43776,                0.19398,                 0.1743,                0.06725,                 1.4013,                   3.29,                 2.5988,              0.0011551,              0.0011551,              0.0011551
